BKCLASS,CB,CERT,CITY,EDEPDOM,EDEPFOR,EFFDATE,EFREPP,EINTEXP,ELNATR,EOTHINT,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAMEFULL,NAMEHCR,NIM,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,57540,ONEONTA,9065.0,0.0,2022-08-31,0.0,10117.0,360.0,1052.0,2003-10-20,5,5,6,SHELBY,57540_20250930,DIF,2003-10-20,0,THE HOMETOWN BANK OF ALABAMA,HOMETOWN BCORP OF ALABAMA INC,15501.0,5,5,0,0,FDIC,2025-09-30,3451603.0,8,AL,0,0,35121
NM,0.0,57542,HENDERSON,232799.0,0.0,2023-11-18,37.0,249291.0,40911.0,16455.0,2004-08-16,14,14,12,PHOENIX,57542_20250930,DIF,2004-08-16,0,TOYOTA FINANCIAL SAVINGS BANK,Unknown,90728.0,4,1,0,0,FDIC,2025-09-30,0.0,9,NV,0,0,89074
N,1.0,57543,FORT WORTH,6884.0,0.0,2022-08-31,0.0,6884.0,0.0,0.0,2003-05-28,13,13,11,DALLAS,57543_20250930,DIF,2003-05-28,0,"TRINITY BANK, N.A.",Unknown,15314.0,5,1,0,0,OCC,2025-09-30,0.0,4,TX,0,0,76107
SM,1.0,57548,TOPEKA,3544.0,0.0,2025-08-16,110.0,3693.0,788.0,39.0,2003-04-14,11,11,10,KANSAS CITY,57548_20250930,DIF,2003-04-14,0,HERITAGE BANK,HERITAGE BANCSHARES INC,5306.0,4,3,0,0,FED,2025-09-30,3120310.0,4,KS,1,0,66614
NM,1.0,57554,CULLMAN,12445.0,0.0,2022-08-31,5.0,12994.0,3039.0,544.0,2003-08-04,5,5,6,SHELBY,57554_20250930,DIF,2003-08-04,0,TRADITIONS BANK,TRADITIONS BANCSHARES INC,30112.0,5,6,0,0,FDIC,2025-09-30,3194683.0,4,AL,0,0,35055
NM,0.0,57565,SALT LAKE CITY,2319058.0,0.0,2022-08-31,8692.0,2549637.0,17292.0,221887.0,2003-09-15,14,14,12,SALT LAKE CITY,57565_20250930,DIF,2003-09-15,0,UBS BANK USA,UBS GROUP AG,1699893.0,4,1,0,0,FDIC,2025-09-30,4795461.0,9,UT,0,0,84111
NM,1.0,57569,HAMILTON,3576.0,0.0,2022-08-31,0.0,3586.0,284.0,10.0,2004-07-23,5,5,6,SHELBY,57569_20250930,DIF,2004-07-23,0,PEOPLESTRUST BANK,HOMETOWN BANCSHARES INC,4987.0,5,3,0,0,FDIC,2025-09-30,3231373.0,4,AL,0,0,35570
NM,0.0,57570,DRAPER,306853.0,0.0,2023-07-12,0.0,351076.0,601841.0,44223.0,2003-12-01,14,2,12,SALT LAKE CITY,57570_20250930,DIF,2003-12-01,0,COMENITY CAPITAL BANK,Unknown,1768370.0,4,1,0,0,FDIC,2025-09-30,0.0,3,UT,0,0,84020
NM,1.0,57571,SALT LAKE CITY,2745.0,0.0,2022-08-31,0.0,3122.0,656.0,377.0,2003-11-03,14,14,12,SALT LAKE CITY,57571_20250930,DIF,2003-11-03,0,CONTINENTAL BANK,CONTINENTAL BCORP,7596.0,4,1,0,0,FDIC,2025-09-30,3191459.0,4,UT,1,0,84101
NM,1.0,57576,LEBANON,6330.0,0.0,2022-08-31,0.0,6457.0,922.0,127.0,2003-09-22,11,11,8,SPRINGFIELD MO,57576_20250930,DIF,2003-09-22,0,HERITAGE BANK OF THE OZARKS,CORNERSTONE BANCSHARES INC,10907.0,4,3,0,0,FDIC,2025-09-30,3199820.0,4,MO,0,0,65536
NM,1.0,57579,BAXLEY,3516.0,0.0,2022-08-31,0.0,3582.0,225.0,66.0,2004-05-11,5,5,6,ALBANY GA,57579_20250930,DIF,2004-05-11,0,COMMUNITY BANK OF GEORGIA,COMMUNITY BANK OF GEORGIA INC,8019.0,5,2,0,0,FDIC,2025-09-30,3213324.0,2,GA,0,0,31513
NM,1.0,57585,GLENDALE,19401.0,0.0,2024-06-30,0.0,20210.0,780.0,809.0,2003-12-01,14,14,12,LOS ANGELES,57585_20250930,DIF,2003-12-01,0,GOLDEN STATE BANK,GOLDEN STATE BCORP,26150.0,4,3,0,0,FDIC,2025-09-30,4725589.0,4,CA,0,0,91203
NM,1.0,57587,MONUMENT,5202.0,0.0,2022-08-31,0.0,5865.0,478.0,663.0,2003-08-11,13,13,10,DENVER,57587_20250930,DIF,2003-08-11,0,INTEGRITY BANK & TRUST,INTEGRITY CAPITAL HOLDINGS INC,12510.0,4,6,0,0,FDIC,2025-09-30,3184853.0,4,CO,0,1,80132
