ASSET,BKCLASS,CB,CERT,CITY,DEP,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ICHBAL,ID,IFREPO,ILNDOM,ILNFOR,ILS,INSAGNT1,INSDATE,INTINC,IOTHII,ISC,ITRADE,MUTUAL,NAMEFULL,NAMEHCR,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
81270,NM,1.0,18071,WATKINS,69724,2024-06-30,1892-01-01,11,11,7,CEDAR RAPIDS,0.0,18071_20250930,216.0,1403.0,0.0,0.0,DIF,1959-09-01,2112.0,2.0,491.0,0.0,0,THE WATKINS SAVINGS BANK,Unknown,4,1,0,0,FDIC,2025-09-30,0.0,2,IA,0,1,52354
438485,NM,1.0,1808,PEORIA,401762,2022-08-31,1898-01-01,9,9,7,PRINCETON,243.0,1808_20250930,0.0,12477.0,0.0,0.0,DIF,1934-01-01,14813.0,29.0,2064.0,0.0,0,BETTER BANKS,BACKLUND INV EMPLOYEE STK OWNERSHIP PLAN,3,10,0,0,FDIC,2025-09-30,5986136.0,8,IL,1,0,61615
31069,NM,1.0,18094,MARQUETTE,25790,2022-08-31,1906-07-26,11,11,10,WICHITA,68.0,18094_20250930,104.0,574.0,0.0,0.0,DIF,1959-10-15,1005.0,7.0,252.0,0.0,0,MARQUETTE FARMERS STATE BANK OF MARQUETTE,Unknown,4,1,0,0,FDIC,2025-09-30,0.0,2,KS,0,0,67464
1302409,NM,1.0,18100,TOPEKA,1021122,2022-08-31,1959-11-30,11,11,10,KANSAS CITY,244.0,18100_20250930,0.0,36433.0,0.0,0.0,DIF,1959-11-30,41584.0,198.0,4709.0,0.0,0,COREFIRST BANK & TRUST,COMMERCE B&T HOLDING EMPLOYEE STK OWNERSHIP PLAN,4,13,0,0,FDIC,2025-09-30,2883298.0,4,KS,1,1,66611
66128,NM,1.0,18101,BUCKLIN,58036,2022-08-31,1909-01-01,11,11,10,HAYS,151.0,18101_20250930,291.0,1345.0,0.0,19.0,DIF,1959-10-15,1988.0,8.0,174.0,0.0,0,"THE FARMERS STATE BANK OF BUCKLIN, KANSAS",Unknown,4,1,0,0,FDIC,2025-09-30,0.0,2,KS,0,0,67834
192194,NM,1.0,18109,DE SOTO,115246,2022-08-31,1909-03-13,11,11,10,KANSAS CITY,769.0,18109_20250930,0.0,8074.0,0.0,0.0,DIF,1959-11-16,9105.0,178.0,84.0,0.0,0,TRICENTURY BANK,ASTRA FINANCIAL CORP,4,3,0,0,FDIC,2025-09-30,2723862.0,4,KS,0,0,66018
438935,NM,1.0,18118,PLAINS,383870,2023-08-29,1906-01-01,11,11,10,WICHITA,603.0,18118_20250930,2.0,15508.0,0.0,144.0,DIF,1959-11-25,18673.0,123.0,2293.0,0.0,0,BANK OF THE PLAINS,PLAINS BANCSHARES INC,4,9,0,0,FDIC,2025-09-30,4552981.0,4,KS,0,0,67869
170897,NM,1.0,18120,WESTPHALIA,136523,2022-08-31,1908-01-01,11,11,10,KANSAS CITY,407.0,18120_20250930,0.0,6447.0,0.0,0.0,DIF,1959-11-30,7827.0,0.0,973.0,0.0,0,"THE FARMERS STATE BANK OF ALICEVILLE, KANSAS",Unknown,4,3,0,0,FDIC,2025-09-30,0.0,2,KS,0,0,66093
2976923,SM,1.0,18129,MIDDLETOWN,2322188,2024-11-17,1819-01-01,2,2,1,SOUTH BOSTON,1762.0,18129_20250930,0.0,101121.0,0.0,0.0,DIF,1960-01-02,113688.0,879.0,9926.0,0.0,0,BANKNEWPORT,OCEANPOINT FINL PARTNERS MHC,1,20,0,0,FED,2025-09-30,3297481.0,4,RI,0,1,02842
84647,N,1.0,18136,WAUCHULA,73564,2022-08-31,1960-01-12,5,5,6,TAMPA,181.0,18136_20250930,56.0,3688.0,0.0,0.0,DIF,1960-01-12,4032.0,11.0,96.0,0.0,0,FIRST NATIONAL BANK OF WAUCHULA,FIRST HARDEE HOLDING CORP,5,1,0,0,OCC,2025-09-30,2376558.0,8,FL,1,0,33873
