CERT,Capital_Ratio,Net_Interest_Margin,Texas_Ratio,Charge_Off_Ratio,Risk_Cluster
11302,0.18237751368155175,0.025776367345617047,0.005681818181818182,0.0,Cluster 1
11306,0.09952424105120072,0.020192743369000732,0.0,0.0,Cluster 1
11307,0.16023143374066826,0.0318190519120453,0.023276426837257697,0.0,Cluster 1
11310,0.08824904631841846,0.023692358572870397,0.04626369011081317,0.0,Cluster 1
11317,0.10586963085716693,0.034267015890626425,0.2213968296080122,0.0,Cluster 1
11319,0.07509834351193334,0.024324434966747424,0.23484810942068488,0.0,Cluster 1
11324,0.10022803140721237,0.02676430485683389,0.0,0.0,Cluster 1
11343,0.14836348775866554,0.02288516550878627,0.026543132590459498,0.0,Cluster 1
11347,0.11969549221650114,0.024492297244978874,0.08184868716919777,0.0,Cluster 1
11352,0.09100463541724287,0.021971213948291313,0.0007293946024799417,0.0,Cluster 1
11355,0.14832709366251812,0.026139161523154236,0.05906429424137343,0.0,Cluster 1
11358,0.1414758573012146,0.0402517372492461,0.009031627546464017,0.0,Cluster 1
11407,0.08028961972312999,0.025271266851425618,0.004053489343919766,0.0,Cluster 1
11409,0.10180824389402603,0.023601363811242157,0.007232212666145426,0.0,Cluster 1
11415,0.08715757835981108,0.025079433233147274,0.10675402729198483,0.0,Cluster 1
11417,0.12132000547720115,0.03334246200191702,0.0,0.0,Cluster 1
1141,0.12269777363819367,0.03502538833638794,0.010101010101010102,0.0,Cluster 1
11431,0.12061745181156522,0.019601695593057668,0.0,0.0,Cluster 1
11445,0.19144087388107942,0.03554798347777498,0.017627196245636124,0.0,Cluster 1
11446,0.10387265546189751,0.017689401063484194,0.14004477218856992,0.0,Cluster 1
11448,0.09977851203659997,0.028532006826186413,0.03398835516739447,0.0,Cluster 1
11459,0.11090922479159754,0.032504760001262324,0.008036076118540745,0.0,Cluster 1
11462,0.10872809419496167,0.030551752464403066,0.012025436000755525,0.0,Cluster 1
11463,0.1495918265137477,0.027129764110782793,0.07024004821051927,0.0,Cluster 1
11465,0.1381378900052882,0.0304237176097303,0.04390477329824142,0.0,Cluster 1
11466,0.10220000819369905,0.03030029907001516,0.026136454742243246,0.0,Cluster 1
11475,0.1329192398483512,0.02461908963017716,0.00735491972374204,0.0,Cluster 1
11477,0.14841855703432297,0.018589363651058784,0.0,0.0,Cluster 1
1147,0.0865243268602758,0.023648891055773776,0.03591401050415701,0.0,Cluster 1
11482,0.1793644746458505,0.027774106268173972,0.011671254253451526,0.0,Cluster 1
11491,0.12093111772188668,0.02343019121167503,0.0004141335497871354,0.0,Cluster 1
11492,0.10163431079704273,0.025948402036564195,0.05151086220690504,0.0,Cluster 1
11501,0.08807561440859799,0.0283291020788979,0.10061924370540345,0.0,Cluster 1
11507,0.10641232444251085,0.02655377441629575,0.03765546507434648,0.0,Cluster 1
11519,0.12472351973271482,0.03375479023348019,0.1234479190618533,0.0,Cluster 1
11521,0.11686904940044533,0.026878898668673743,0.11523467359730928,0.0,Cluster 1
11522,0.10762356649453424,0.030777613842129972,0.002258883644124566,0.0,Cluster 1
11526,0.12562844129468165,0.031822985356071636,0.024895701070197715,0.0,Cluster 1
11527,0.1468953810417225,0.03907799517555615,0.11835543121274784,0.0,Cluster 1
11539,0.07484738781881033,0.025551814593565363,0.3064745059504313,0.0,Cluster 1
11557,0.12656384080251037,0.025651580543936365,0.00017513134851138354,0.0,Cluster 1
11559,0.15409276571886565,0.01633080030328629,0.04338111401430979,2.4458571882802048e-05,Cluster 1
