CERT,anomaly_flag,anomaly_score
1167,-1,-0.036001288744669346
11680,1,0.11790319109612335
11681,1,0.11189893663252387
11682,1,0.06728921310320057
11686,1,0.09422092425555284
11699,1,0.12799268639528028
1169,1,0.1269992020631316
11702,1,0.1319261507082845
11706,1,0.049290872532428476
11708,1,0.10448699547562279
11711,1,0.12597543578881415
11715,-1,-0.028897002967013585
11716,1,0.1139939892146376
11719,1,0.09606588925795362
11722,1,0.13267620025703375
11729,1,0.05570330057732037
11731,1,0.0783652977953781
11732,1,0.033296427446098675
11734,1,0.11167145830625003
11739,1,0.11783892373172444
11741,1,0.11988949601528653
11746,1,0.08779896139674076
11747,1,0.08483593467967232
11750,1,0.012677606456438839
11759,-1,-0.020557235993041267
11763,1,0.11533272298397101
11764,1,0.1336897168538903
11767,1,0.11580161629809521
11771,1,0.10417851688850915
11777,1,0.12235089949442324
11778,1,0.11900651166602488
11782,1,0.11774071080885395
11785,1,0.011979071578801459
11788,1,0.07879204058918182
11792,1,0.0917217973116764
11807,1,0.12725119543689878
11810,1,0.010103181220444069
11813,1,0.08966172467923267
11817,1,0.06353200966330036
11821,1,0.125084628325125
11823,1,0.12221264358393169
1184,1,0.1148470276684414
11860,1,0.12091594581549975
11862,1,0.12485018985141355
11868,1,0.10242157990810374
11891,-1,-0.10341262918393468
11903,1,0.07021679807505965
11904,1,0.09026924212341997
11905,1,0.11903094788637064
11907,1,0.10920730855453825
11916,1,0.0372822561155251
11922,1,0.07121816496415845
11932,1,0.061494103450220716
11934,1,0.1279864152571138
11935,1,0.12563457613305845
11952,1,0.04041621489042313
11953,1,0.08313270587621385
11971,1,0.11657402333408112
1198,1,0.07416557966018772
12010,1,0.1201399304806845
12079,1,0.11666987211341512
12086,1,0.04489931991822871
12087,1,0.09382353943243343
1208,1,0.12582166707450598
12098,1,0.12622513786969858
1209,1,0.1229316753566227
12107,-1,-0.1593485387260155
1210,1,0.13110627865564356
12113,1,0.12027940565095291
12121,1,0.014031538496744433
12126,1,0.07273648193315896
12128,-1,-0.022663167748506408
12135,1,0.08704565527025698
12136,1,0.12479860907276713
12139,1,0.11312418761494208
1213,-1,-0.05091922399053728
12149,1,0.10428128140711573
12162,1,0.11804123249094173
12163,1,0.10154067482245316
12166,1,0.0773792827630912
1219,-1,-0.11996639341565551
12201,1,0.13245601468446994
12203,1,0.09873796651814709
12204,1,0.07761170531462269
12207,1,0.10310349340202979
12208,1,0.05144312395189071
12214,1,0.122705940683556
12219,1,0.08465789572124627
12220,1,0.06287581766593853
12223,1,0.10754230491449218
12225,1,0.1198802454196673
12226,1,0.11378684801524103
12229,1,0.10755280261090289
12230,1,0.12894286498747193
12232,1,0.06319832919626756
12241,1,0.1180688034643192
12244,1,0.10410317313132889
12246,1,0.08488915434267913
12248,1,0.12085944805419169
12258,1,0.10031786014787075
12259,1,0.010381040890831972
1225,1,0.08040090076340878
12266,1,0.07594393918244036
12283,1,0.07387862510869736
12284,1,0.12353851804291216
12285,-1,-0.0198589383229113
12293,1,0.01497257238526084
12298,-1,-0.0018648672590644289
12299,1,0.09120843675078988
12303,1,0.12523722588750047
12305,1,0.04152082795531997
12315,1,0.0711619889043143
12322,1,0.08449709409791106
12325,1,0.12796861931773135
12327,1,0.10202777961285114
12331,1,0.10091313991135825
12349,1,0.09648937192036672
12354,1,0.07684141688012003
12365,1,0.12991245337372187
12368,1,0.10410871086152429
12372,1,0.019354707399585447
1237,1,0.08383394412836054
12383,1,0.08713981084440936
12384,1,0.09528137397796621
12386,1,0.12301102372055489
12388,1,0.08191677634858163
12402,1,0.12490208596103974
12410,1,0.09718094857144155
12417,-1,-0.10096997464589785
12422,1,0.06710723231624116
12425,1,0.07816597720990875
12432,-1,-0.06924842120288421
12441,1,0.12508382693909897
12444,1,0.1262784239364908
12457,1,0.005495259261624863
12484,1,0.10418932862339536
12485,1,0.09996198651431631
12493,-1,-0.007552968567029139
12511,1,0.12466788500085046
12512,1,0.12842403872882663
12513,1,0.10781985553463586
12517,1,0.10241270955340881
12531,-1,-0.03259969356406622
12549,1,0.11828396923834505
12591,1,0.06421054492238593
12592,1,0.10449503716264835
12594,1,0.0669021353853102
12602,-1,-0.0876391512688991
12608,1,0.10241390687308971
12609,1,0.11822903375615545
12611,1,0.03715167819297588
12614,1,0.10758956698788086
12616,-1,-0.001464352208656261
12627,-1,-0.01437536947912832
12633,1,0.02418700390508388
12661,1,0.11530961513003368
12694,1,0.12456271099596777
12706,1,0.10534822282873102
12717,-1,-0.03620728210739632
12722,1,0.06724394065415573
12745,1,0.06781889670580638
12757,-1,-0.07609821841649445
12758,-1,-0.020060168303765447
12761,1,0.05737922055417011
12769,1,0.12210381049478197
12788,1,0.1279368139247294
12814,1,0.1309967341255041
12815,1,0.12300052007837392
1281,1,0.11236288974072733
12828,1,0.1287909125515766
12836,1,0.0786624730270637
12839,1,0.1228784509780751
12854,1,0.12459454341236675
12855,1,0.08227562571437669
12857,1,0.10311501869910661
12858,1,0.07175418487545393
12865,1,0.11339440346549384
12869,1,0.11347226585793202
12874,1,0.11928397681524733
12885,1,0.08974901539144237
12893,1,0.012795859591195002
12899,1,0.12610352978202982
1291,1,0.12535120109381492
12944,1,0.1144321397422059
1294,1,0.07606067006974049
12956,1,0.12756854199814405
12959,1,0.08660128005871398
12969,1,0.1304067251804476
1296,1,0.08191059359123576
12978,-1,-0.12777581300117258
12980,1,0.09262121091662134
12985,1,0.1186497571332919
1299,1,0.1136356303086718
13000,1,0.12274775508723984
13006,1,0.1279191149400301
13012,1,0.12289054227856394
13018,1,0.08045719560908454
13020,-1,-0.03795269937664136
13025,1,0.12972714434570093
13030,1,0.037488776651879885
13032,1,0.1272854132350269
13033,1,0.12214042069764663
13054,1,0.047610774211851725
13055,1,0.11975163349847956
13058,1,0.04236222816642182
13063,1,0.12286423173185568
13068,1,0.09073654816631616
13071,1,0.12799094969539182
13083,1,0.09832644524757855
13102,1,0.12556044088091145
13107,1,0.12965603520167923
13109,1,0.10908226126364923
13111,1,0.12373912179110808
13112,1,0.11437882943946709
13113,-1,-0.015299239481580296
13130,1,0.09536458047703833
13167,1,0.11794892178532262
13179,1,0.06648951060704839
13195,1,0.10039105195999198
13196,1,0.12091475990376749
13198,1,0.11067206912778549
131,1,0.11745728284991558
13209,1,0.07691915935883076
13216,1,0.11987399868706045
13220,1,0.12288421566833319
13242,1,0.12762894402435032
13249,1,0.10301174045730005
13251,-1,-0.11644242905261681
13255,1,0.11913670910195884
13264,1,0.11744951175919749
13274,-1,-0.10848866506675836
13297,1,0.0288717648202943
13303,1,0.026405040976813343
13305,1,0.12264151292618591
1331,1,0.12242963395213191
13339,1,0.12584315912093808
13341,1,0.12260975112885425
13366,1,0.08722074542991798
13381,1,0.053889619408901135
13382,1,0.08285676670769965
13397,-1,-0.12732190279101085
13407,1,0.04250622541838228
13415,1,0.1175637109674249
13416,-1,-0.08534980841585416
13421,-1,-0.007662695988299939
13430,1,0.11559901364446512
13450,1,0.10918207830813287
13454,1,0.12353653724876312
13561,1,0.0680828632674404
13565,1,0.09397007454357065
13582,-1,-0.08292402741269278
13599,1,0.11995203023916107
13600,1,0.11258543795584597
13611,1,0.12345816487991701
13616,-1,-0.09092588478010444
13622,1,0.04834153837626254
13632,1,0.12984669214822536
13652,1,0.11723523067224878
13656,-1,-0.036464952218088875
1365,1,0.10139396897356229
13662,1,0.12022904030567438
13692,1,0.07849843313203175
13696,1,0.005631571362876953
13703,1,0.11690119804710758
13712,1,0.08472787902465712
13715,1,0.090965177073148
13716,1,0.06777483622164543
13729,1,0.09910125115072138
13735,1,0.11160384174741628
13736,1,0.020498502515767292
13737,1,0.10270113482497234
1373,1,0.08646272260165933
13748,1,0.0006945515810066749
1374,1,0.12815395572561916
13753,1,0.08213884555136647
1376,1,0.11905724650376048
13774,1,0.0901582774450711
13775,1,0.12311532045617068
13784,1,0.10029443510483582
13788,1,0.10775558987481298
13794,1,0.12087036190973038
13798,1,0.06376786589767286
13801,1,0.08999646252882954
13802,1,0.10217234120088164
13809,1,0.12999067617466703
1380,1,0.11358440896890848
13813,1,0.12014590688129057
13816,1,0.09421573822253554
13819,1,0.12953540331777236
13821,1,0.07361282113697742
13838,1,0.09972895608701687
13843,1,0.12248991516219865
13868,1,0.11570624897978898
13876,1,0.10594429255111071
13883,1,0.12417293837213644
13887,1,0.12450832827188024
13892,1,0.09728377291088641
13897,1,0.11529739958728152
13902,1,0.08228391650591343
13905,-1,-0.020281322353630338
13919,1,0.1165989193497668
1391,1,0.10648769482640952
13926,1,0.011379486970646446
13931,1,0.026898979253571487
13946,1,0.07970507719157771
13947,1,0.1264522289056889
13951,1,0.11200581211111799
13953,1,0.12435592488180325
13960,1,0.021301258853190452
13962,1,0.10874357571041354
13983,1,0.12687639620032803
13986,-1,-0.01599111406996645
13990,1,0.11229838261758007
13999,1,0.10074010335607347
1399,1,0.07267396394990111
14009,1,0.1081645884022866
14017,1,0.12304762863064711
14025,1,0.09931082831838495
14026,-1,-0.002573216557226532
14029,1,0.09970452460082024
1402,1,0.11283535433169395
14036,1,0.12260125170198938
14056,-1,-0.14997922640052563
14058,-1,-0.005025889116809901
14065,1,0.12056509121518788
14069,-1,-0.05635442867537255
14073,1,0.028658036025529576
14079,1,0.09969177460900552
14083,1,0.07716156448605904
14095,1,0.0959216959004805
14096,1,0.0853902605889979
1409,1,0.07262674616907766
14113,1,0.1329215035863031
14134,1,0.11059714582155583
14136,1,0.127983281610831
1413,1,0.1088380540353387
14140,1,0.09102534138591994
14158,-1,-0.0023762751185064657
1415,1,0.13034880330710324
14168,1,0.12533528060240606
14178,1,0.09662707512859797
1417,1,0.12080131726336618
14184,1,0.10120361571255987
14185,1,0.0722613152936174
1418,1,0.07505302967552435
14195,1,0.12628897228544206
14207,-1,-0.0807765677829203
14208,1,0.09658723665193775
14209,1,0.09978201693415711
14222,1,0.07003395628862918
14225,1,0.126510334049805
14230,1,0.11673855121163523
14247,1,0.09496602261226023
14260,-1,-0.018693251222286822
14264,1,0.12169895042892753
14266,1,0.08174301159411523
14269,1,0.08997831444354071
1426,1,0.10940608996400292
14275,1,0.1245129040264975
14276,1,0.12224395864607973
1427,1,0.1231012053096388
14281,1,0.06158767771719781
14291,1,0.07916530848695269
14293,-1,-0.027797166543933494
14311,1,0.11439464970874097
14312,1,0.031556165247562995
14316,1,0.08353377429527709
14327,1,0.04571436614702168
14331,1,0.04494353851465094
14333,1,0.09610207601625181
14334,-1,-0.029851383013107413
14344,1,0.10019497114757941
14349,1,0.11887197267853722
1434,1,0.09645826138638647
14352,1,0.12993865762938783
14355,1,0.117440381561629
